,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,55,Duncan Robinson,SG,6-7,215,"April 22, 1994",us,3,"Williams, Michigan"
1,17,P.J. Tucker,PF,6-5,245,"May 5, 1985",us,10,Texas
2,31,Max Strus,SF,6-5,215,"March 28, 1996",us,2,"Lewis (IL), DePaul"
3,2,Gabe Vincent,PG,6-3,200,"June 14, 1996",us,2,UC Santa Barbara
4,21,Dewayne Dedmon,C,7-0,245,"August 12, 1989",us,8,USC
5,14,Tyler Herro,SG,6-5,195,"January 20, 2000",us,2,Kentucky
6,7,Kyle Lowry,PG,6-0,196,"March 25, 1986",us,15,Villanova
7,16,Caleb Martin,SF,6-5,205,"September 28, 1995",us,2,"NC State, Nevada"
8,22,Jimmy Butler,SF,6-7,230,"September 14, 1989",us,10,Marquette
9,13,Bam Adebayo,C,6-9,255,"July 18, 1997",us,4,Kentucky
10,77,Omer Yurtseven,C,7-0,264,"June 19, 1998",tr,R,"NC State, Georgetown"
11,24,Haywood Highsmith,SF,6-7,220,"December 9, 1996",us,1,Wheeling University
12,8,Markieff Morris,PF,6-9,245,"September 2, 1989",us,10,Kansas
13,40,Udonis Haslem,C,6-8,235,"June 9, 1980",us,18,Florida
14,4,Victor Oladipo,SG,6-4,213,"May 4, 1992",us,8,Indiana
15,15,Javonte Smart (TW),PG,6-4,205,"June 3, 1999",us,R,LSU
16,12,Mychal Mulder (TW),PG,6-3,184,"June 12, 1994",ca,2,"Vincennes University, Kentucky"
